CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
53443,,,730,810,,,730,810,,,ARE 172
53445,,,,,1030,1080,,,,,ARE 172
53445,,,730,810,,,730,810,,,ARE 172
53446,,,730,810,,,730,810,,,ARE 172
53446,,,,,1090,1140,,,,,ARE 172
22527,,,1000,1080,,,1000,1080,,,ARE 176
22527,,,1090,1140,,,,,,,ARE 176
22528,,,1000,1080,,,1000,1080,,,ARE 176
22528,,,1150,1200,,,,,,,ARE 176
22529,,,1000,1080,,,1000,1080,,,ARE 176
22529,,,,,1030,1080,,,,,ARE 176
22530,,,1000,1080,,,1000,1080,,,ARE 176
22530,,,,,1090,1140,,,,,ARE 176
@,,,,,,,,,,,ARE 192
@,,,,,,,,,,,ARE 197T
@,,,,,,,,,,,ARE 198
@,,,,,,,,,,,ARE 199
22707,820,840,,,820,840,,,,,ARE 200A
22707,730,810,,,730,810,,,,,ARE 200A
22708,970,1050,,,970,1050,,,,,ARE 202A
22709,,,600,710,,,600,710,,,ARE 204A
22710,,,820,900,,,820,900,,,ARE 215A
22710,,,,,,,,,,,ARE 215A
22711,730,840,,,730,840,,,,,ARE 223
22712,820,840,,,820,840,,,,,ARE 231
22712,730,810,,,730,810,,,,,ARE 231
22713,,,,,,,,,,,ARE 239
22713,,,820,900,,,820,900,,,ARE 239
53490,,,450,530,,,450,530,,,ARE 240D
53490,,,540,590,,,,,,,ARE 240D
22715,600,710,,,600,710,,,,,ARE 254
22716,600,680,,,600,680,,,,,ARE 256A
22716,,,,,,,,,790,840,ARE 256A
53565,,,600,710,,,600,710,,,ARE 276A
@,,,,,,,,,,,ARE 298
@,,,,,,,,,,,ARE 299
@,,,,,,,,,,,ARE 299D
@,,,,,,,,,,,ARE 396
@,,,,,,,,,,,AED 092
@,,,,,,,,,,,AED 098
@,,,,,,,,,,,AED 099
20606,,,1030,1200,,,,,,,AED 160
@,,,,,,,,,,,AED 192
@,,,,,,,,,,,AED 198
@,,,,,,,,,,,AED 199
20832,,,,,1090,1140,,,,,AMS 001C
20832,,,540,620,,,540,620,,,AMS 001C
20833,,,,,1150,1200,,,,,AMS 001C
20833,,,540,620,,,540,620,,,AMS 001C
20834,,,,,,,1090,1140,,,AMS 001C
20834,,,540,620,,,540,620,,,AMS 001C
20835,,,540,620,,,540,620,,,AMS 001C
20835,,,,,,,1150,1200,,,AMS 001C
20836,,,730,810,,,730,810,,,AMS 010
20836,,,1150,1200,,,,,,,AMS 010
20837,,,1210,1260,,,,,,,AMS 010
20837,,,730,810,,,730,810,,,AMS 010
20838,,,,,,,600,650,,,AMS 010
20838,,,730,810,,,730,810,,,AMS 010
20839,,,730,810,,,730,810,,,AMS 010
20839,,,,,,,660,710,,,AMS 010
20840,,,,,,,,,790,840,AMS 010
20840,,,730,810,,,730,810,,,AMS 010
20841,,,,,,,,,850,900,AMS 010
20841,,,730,810,,,730,810,,,AMS 010
20842,1030,1080,,,,,,,,,AMS 021
20842,820,900,,,820,900,,,,,AMS 021
20843,1090,1140,,,,,,,,,AMS 021
20843,820,900,,,820,900,,,,,AMS 021
20844,,,,,,,1090,1140,,,AMS 021
20844,820,900,,,820,900,,,,,AMS 021
20845,820,900,,,820,900,,,,,AMS 021
20845,,,,,,,1150,1200,,,AMS 021
20846,,,,,,,,,600,650,AMS 021
20846,820,900,,,820,900,,,,,AMS 021
20847,,,,,,,,,660,710,AMS 021
20847,820,900,,,820,900,,,,,AMS 021
20848,,,1090,1140,,,,,,,AMS 030
20848,,,630,710,,,630,710,,,AMS 030
20849,,,1150,1200,,,,,,,AMS 030
20849,,,630,710,,,630,710,,,AMS 030
20850,,,630,710,,,630,710,,,AMS 030
20850,,,,,,,970,1020,,,AMS 030
20851,,,630,710,,,630,710,,,AMS 030
20851,,,,,,,1030,1080,,,AMS 030
20853,,,,,910,960,,,,,AMS 095
20853,540,590,,,,,,,,,AMS 095
20854,540,590,,,,,,,,,AMS 095
20854,,,,,,,,,540,590,AMS 095
@,,,,,,,,,,,AMS 098
@,,,,,,,,,,,AMS 099
20869,,,1000,1080,,,1000,1080,,,AMS 150
20871,,,910,990,,,910,990,,,AMS 155
53102,820,840,,,820,840,,,,,AMS 156
53102,730,810,,,730,810,,,,,AMS 156
53260,,,,,600,710,,,,,AMS 190A
@,,,,,,,,,,,AMS 190B
@,,,,,,,,,,,AMS 192
@,,,,,,,,,,,AMS 197T
@,,,,,,,,,,,AMS 199
@,,,,,,,,,,,AMS 298
@,,,,,,,,,,,AMS 299
@,,,,,,,,,,,AMS 396
20928,,,,,,,,,600,650,ANB 218A
20928,600,710,,,600,710,,,,,ANB 218A
@,,,,,,,,,,,ANB 290
@,,,,,,,,,,,ANB 298
@,,,,,,,,,,,ANB 299
20215,,,,,,,480,530,,,ABI 050A
20215,,,540,710,,,,,,,ABI 050A
20216,,,,,,,480,530,,,ABI 050A
20216,,,850,1020,,,,,,,ABI 050A
20217,,,,,,,540,710,,,ABI 050A
20217,,,,,,,480,530,,,ABI 050A
20218,,,,,,,480,530,,,ABI 050A
20218,,,,,,,850,1020,,,ABI 050A
20219,,,630,710,,,630,710,,,ABI 050B
@,,,,,,,,,,,ABI 092
@,,,,,,,,,,,ABI 098
@,,,,,,,,,,,ABI 099
20238,,,,,,,,,480,530,ABI 102
20238,480,530,480,530,480,530,480,530,,,ABI 102
20239,,,,,850,900,,,,,ABI 187
20239,850,900,,,,,,,,,ABI 187
@,,,,,,,,,,,ABI 189
@,,,,,,,,,,,ABI 189D
@,,,,,,,,,,,ABI 192
@,,,,,,,,,,,ABI 198
@,,,,,,,,,,,ABI 199
20073,,,,,,,600,690,,,ABG 200A
20073,,,,,,,,,600,690,ABG 200A
20074,,,910,960,,,,,,,ABG 202
20074,,,850,900,,,,,,,ABG 202
20075,,,,,,,,,,,ABG 290
20076,,,,,,,,,,,ABG 290
20077,,,,,,,,,,,ABG 290
20078,,,,,,,,,,,ABG 290
20079,,,,,,,,,,,ABG 290
20080,,,,,,,,,,,ABG 290
@,,,,,,,,,,,ABG 298
@,,,,,,,,,,,ABG 299
20199,,,,,,,,,,,ABG 300
@,,,,,,,,,,,ABG 396
21040,540,590,540,590,540,590,540,590,,,ANG 107
21040,,,,,,,,,540,590,ANG 107
21040,,,850,900,,,,,,,ANG 107
21040,,,910,960,,,,,,,ANG 107
21041,540,590,540,590,540,590,540,590,,,ANG 107
21041,,,,,,,,,540,590,ANG 107
21041,,,850,900,,,,,,,ANG 107
21041,,,910,960,,,,,,,ANG 107
21042,540,590,540,590,540,590,540,590,,,ANG 107
21042,,,,,,,,,540,590,ANG 107
21042,,,730,780,,,,,,,ANG 107
21042,,,790,840,,,,,,,ANG 107
21043,,,790,840,,,,,,,ANG 107
21043,540,590,540,590,540,590,540,590,,,ANG 107
21043,,,,,,,,,540,590,ANG 107
21043,,,730,780,,,,,,,ANG 107
21044,,,1030,1080,,,,,,,ANG 107
21044,,,970,1020,,,,,,,ANG 107
21044,,,,,,,,,540,590,ANG 107
21044,540,590,540,590,540,590,540,590,,,ANG 107
21046,,,,,790,960,,,790,960,ANG 111
21046,540,590,,,540,590,,,,,ANG 111
@,,,,,,,,,,,ANG 198
@,,,,,,,,,,,ANG 199
@,,,,,,,,,,,ANG 298
@,,,,,,,,,,,ANG 299
21107,,,480,650,,,,,,,ANS 001
21107,660,710,,,660,710,,,660,710,ANS 001
21108,,,480,650,,,,,,,ANS 001
21108,660,710,,,660,710,,,660,710,ANS 001
21109,660,710,,,660,710,,,660,710,ANS 001
21109,,,1380,830,,,,,,,ANS 001
21110,660,710,,,660,710,,,660,710,ANS 001
21110,,,1380,830,,,,,,,ANS 001
21111,660,710,,,660,710,,,660,710,ANS 001
21111,,,850,1020,,,,,,,ANS 001
21112,660,710,,,660,710,,,660,710,ANS 001
21112,,,850,1020,,,,,,,ANS 001
21113,,,,,480,650,,,,,ANS 001
21113,660,710,,,660,710,,,660,710,ANS 001
21114,,,,,480,650,,,,,ANS 001
21114,660,710,,,660,710,,,660,710,ANS 001
21115,660,710,,,660,710,,,660,710,ANS 001
21115,,,,,730,900,,,,,ANS 001
21116,660,710,,,660,710,,,660,710,ANS 001
21116,,,,,730,900,,,,,ANS 001
21117,660,710,,,660,710,,,660,710,ANS 001
21117,,,,,910,1080,,,,,ANS 001
21118,660,710,,,660,710,,,660,710,ANS 001
21118,,,,,910,1080,,,,,ANS 001
21119,,,,,,,480,650,,,ANS 001
21119,660,710,,,660,710,,,660,710,ANS 001
21120,,,,,,,480,650,,,ANS 001
21120,660,710,,,660,710,,,660,710,ANS 001
21121,660,710,,,660,710,,,660,710,ANS 001
21121,,,,,,,1380,830,,,ANS 001
21122,660,710,,,660,710,,,660,710,ANS 001
21122,,,,,,,1380,830,,,ANS 001
21123,660,710,,,660,710,,,660,710,ANS 001
21123,,,,,,,850,1020,,,ANS 001
21124,660,710,,,660,710,,,660,710,ANS 001
21124,,,,,,,850,1020,,,ANS 001
21125,660,710,,,660,710,,,660,710,ANS 001
21125,,,,,,,,,480,650,ANS 001
21126,660,710,,,660,710,,,660,710,ANS 001
21126,,,,,,,,,480,650,ANS 001
21127,,,,,,,,,730,900,ANS 001
21127,660,710,,,660,710,,,660,710,ANS 001
21128,,,,,,,,,730,900,ANS 001
21128,660,710,,,660,710,,,660,710,ANS 001
21129,,,,,,,600,650,,,ANS 018
21129,600,650,,,600,650,,,600,650,ANS 018
21130,600,650,,,600,650,,,600,650,ANS 018
21130,,,,,,,,,540,590,ANS 018
21131,600,650,,,600,650,,,600,650,ANS 018
21131,,,,,,,540,590,,,ANS 018
21132,,,,,,,,,850,1020,ANS 022A
21133,,,480,530,,,480,530,,,ANS 041
21134,,,850,900,,,,,,,ANS 041L
21134,,,910,1080,,,,,,,ANS 041L
21135,,,850,900,,,,,,,ANS 041L
21135,,,910,1080,,,,,,,ANS 041L
21136,,,,,,,850,900,,,ANS 041L
21136,,,,,,,910,1080,,,ANS 041L
21137,,,,,,,910,1080,,,ANS 041L
21137,,,,,,,850,900,,,ANS 041L
21138,,,480,650,,,,,,,ANS 049B
21138,,,660,710,,,,,,,ANS 049B
21139,,,660,710,,,,,,,ANS 049B
21139,,,,,480,650,,,,,ANS 049B
21140,,,,,,,480,650,,,ANS 049B
21140,,,660,710,,,,,,,ANS 049B
21141,,,660,710,,,,,,,ANS 049B
21141,,,,,,,,,480,650,ANS 049B
21142,540,710,,,,,,,,,ANS 049C
21142,730,780,,,,,,,,,ANS 049C
21143,,,540,710,,,,,,,ANS 049C
21143,730,780,,,,,,,,,ANS 049C
21144,,,,,540,710,,,,,ANS 049C
21144,730,780,,,,,,,,,ANS 049C
21145,,,,,,,540,710,,,ANS 049C
21145,730,780,,,,,,,,,ANS 049C
21146,,,,,,,,,540,710,ANS 049C
21146,730,780,,,,,,,,,ANS 049C
21147,,,,,,,,,,,ANS 049C
21147,730,780,,,,,,,,,ANS 049C
21148,,,,,,,,,,,ANS 049C
21148,730,780,,,,,,,,,ANS 049C
21149,300,470,,,,,,,,,ANS 049C
21149,730,780,,,,,,,,,ANS 049C
21150,,,300,470,,,,,,,ANS 049C
21150,730,780,,,,,,,,,ANS 049C
21151,,,,,300,470,,,,,ANS 049C
21151,730,780,,,,,,,,,ANS 049C
21152,,,,,,,300,470,,,ANS 049C
21152,730,780,,,,,,,,,ANS 049C
21153,,,,,,,,,300,470,ANS 049C
21153,730,780,,,,,,,,,ANS 049C
21154,,,,,,,,,,,ANS 049C
21154,730,780,,,,,,,,,ANS 049C
21155,,,,,,,,,,,ANS 049C
21155,730,780,,,,,,,,,ANS 049C
21156,730,780,,,,,,,,,ANS 049C
21156,970,1140,,,,,,,,,ANS 049C
21157,,,970,1140,,,,,,,ANS 049C
21157,730,780,,,,,,,,,ANS 049C
21158,730,780,,,,,,,,,ANS 049C
21158,,,,,970,1140,,,,,ANS 049C
21159,730,780,,,,,,,,,ANS 049C
21159,,,,,,,970,1140,,,ANS 049C
21160,730,780,,,,,,,,,ANS 049C
21160,,,,,,,,,970,1140,ANS 049C
21161,730,780,,,,,,,,,ANS 049C
21161,,,,,,,,,,,ANS 049C
21162,730,780,,,,,,,,,ANS 049C
21162,,,,,,,,,,,ANS 049C
21163,,,,,,,790,960,,,ANS 049D
21163,,,,,730,780,,,,,ANS 049D
21164,,,790,960,,,,,,,ANS 049D
21164,,,,,730,780,,,,,ANS 049D
21165,,,,,,,,,790,960,ANS 049D
21165,,,,,730,780,,,,,ANS 049D
21166,,,,,540,710,,,,,ANS 049E
21166,,,600,650,,,,,,,ANS 049E
21167,,,600,650,,,,,,,ANS 049E
21167,,,,,,,540,710,,,ANS 049E
21168,,,600,650,,,,,,,ANS 049E
21168,,,,,,,,,540,710,ANS 049E
21169,910,960,,,,,,,,,ANS 049G
21169,,,480,650,,,,,,,ANS 049G
21170,,,790,960,,,,,,,ANS 049G
21170,910,960,,,,,,,,,ANS 049G
21171,910,960,,,,,,,,,ANS 049G
21171,,,,,480,650,,,,,ANS 049G
21172,910,960,,,,,,,,,ANS 049G
21172,,,,,790,960,,,,,ANS 049G
21173,910,960,,,,,,,,,ANS 049G
21173,,,,,,,480,650,,,ANS 049G
21174,,,660,710,,,,,,,ANS 049H
21174,,,,,540,710,,,,,ANS 049H
21175,,,,,,,540,710,,,ANS 049H
21175,,,660,710,,,,,,,ANS 049H
21176,,,,,,,,,540,710,ANS 049H
21176,,,660,710,,,,,,,ANS 049H
21177,480,650,,,,,,,,,ANS 049I
21177,,,660,710,,,,,,,ANS 049I
21178,,,660,710,,,,,,,ANS 049I
21178,,,480,650,,,,,,,ANS 049I
21179,,,660,710,,,,,,,ANS 049I
21179,,,,,480,650,,,,,ANS 049I
21180,,,,,,,480,650,,,ANS 049I
21180,,,660,710,,,,,,,ANS 049I
21182,,,,,,,730,780,,,ANS 049J
21182,480,650,,,,,,,,,ANS 049J
21183,,,,,,,730,780,,,ANS 049J
21183,,,,,,,480,650,,,ANS 049J
21184,,,,,,,730,780,,,ANS 049J
21184,,,,,480,650,,,,,ANS 049J
21185,,,,,,,730,780,,,ANS 049J
21185,,,480,650,,,,,,,ANS 049J
21186,,,,,,,730,780,,,ANS 049J
21186,,,,,,,,,480,650,ANS 049J
21187,,,600,650,,,,,,,ANS 049K
21187,,,,,540,710,,,,,ANS 049K
21188,,,600,650,,,,,,,ANS 049K
21188,,,,,,,540,710,,,ANS 049K
21189,,,,,,,,,540,710,ANS 049K
21189,,,600,650,,,,,,,ANS 049K
@,,,,,,,,,,,ANS 090C
@,,,,,,,,,,,ANS 092
@,,,,,,,,,,,ANS 098
@,,,,,,,,,,,ANS 099
21374,600,650,,,600,650,,,600,650,ANS 104
21374,,,,,,,730,780,,,ANS 104
21375,600,650,,,600,650,,,600,650,ANS 104
21375,,,,,,,1030,1080,,,ANS 104
21376,600,650,,,600,650,,,600,650,ANS 104
21376,,,,,,,660,710,,,ANS 104
21377,600,650,,,600,650,,,600,650,ANS 104
21377,,,,,,,790,840,,,ANS 104
21378,,,,,,,850,900,,,ANS 104
21378,600,650,,,600,650,,,600,650,ANS 104
21379,600,650,,,600,650,,,600,650,ANS 104
21379,,,,,,,910,960,,,ANS 104
21380,600,650,,,600,650,,,600,650,ANS 104
21380,,,,,,,970,1020,,,ANS 104
21381,,,850,1020,,,,,,,ANS 115
21381,660,710,,,660,710,,,660,710,ANS 115
21382,660,710,,,660,710,,,660,710,ANS 115
21382,,,,,850,1020,,,,,ANS 115
21383,,,,,,,850,1020,,,ANS 115
21383,660,710,,,660,710,,,660,710,ANS 115
21384,,,,,,,,,850,1020,ANS 115
21384,660,710,,,660,710,,,660,710,ANS 115
53756,,,,,1320,770,,,1320,770,ANS 132
53756,,,,,790,840,,,,,ANS 132
21385,,,,,,,,,,,ANS 135
21385,,,,,,,790,840,,,ANS 135
21385,,,,,,,850,1020,,,ANS 135
21386,,,,,,,,,790,960,ANS 136
21386,,,730,780,,,,,,,ANS 136
21386,,,,,850,1020,,,,,ANS 136
21387,910,1080,,,,,,,,,ANS 140
21387,790,840,,,790,840,,,790,840,ANS 140
21388,790,840,,,790,840,,,790,840,ANS 140
21388,,,,,,,850,1020,,,ANS 140
21389,660,710,,,660,710,,,660,710,ANS 142
21389,730,780,,,,,,,,,ANS 142
21390,660,710,,,660,710,,,660,710,ANS 142
21390,,,730,780,,,,,,,ANS 142
21391,660,710,,,660,710,,,660,710,ANS 142
21391,,,,,730,780,,,,,ANS 142
21392,660,710,,,660,710,,,660,710,ANS 142
21392,,,,,,,,,730,780,ANS 142
21394,,,790,840,,,,,,,ANS 170
21394,790,840,,,790,840,,,790,840,ANS 170
21395,790,840,,,790,840,,,790,840,ANS 170
21395,,,850,900,,,,,,,ANS 170
21396,790,840,,,790,840,,,790,840,ANS 170
21396,,,910,960,,,,,,,ANS 170
21397,790,840,,,790,840,,,790,840,ANS 170
21397,,,,,,,600,650,,,ANS 170
21398,,,,,,,660,710,,,ANS 170
21398,790,840,,,790,840,,,790,840,ANS 170
21399,790,840,,,790,840,,,790,840,ANS 170
21399,,,,,,,730,780,,,ANS 170
21400,790,840,,,790,840,,,790,840,ANS 170
21400,,,,,,,,,600,650,ANS 170
@,,,,,,,,,,,ANS 190C
@,,,,,,,,,,,ANS 192
@,,,,,,,,,,,ANS 194
@,,,,,,,,,,,ANS 194
@,,,,,,,,,,,ANS 194HA
@,,,,,,,,,,,ANS 194HA
@,,,,,,,,,,,ANS 197T
@,,,,,,,,,,,ANS 198
@,,,,,,,,,,,ANS 199
@,,,,,,,,,,,ANS 290C
21739,730,780,,,,,,,,,ANS 291
@,,,,,,,,,,,ANS 297
@,,,,,,,,,,,ANS 298
@,,,,,,,,,,,ANS 299
21919,,,970,1020,,,,,,,ANT 001
21919,,,820,900,,,820,900,,,ANT 001
21920,,,1030,1080,,,,,,,ANT 001
21920,,,820,900,,,820,900,,,ANT 001
21921,,,1090,1140,,,,,,,ANT 001
21921,,,820,900,,,820,900,,,ANT 001
21922,,,820,900,,,820,900,,,ANT 001
21922,,,,,480,530,,,,,ANT 001
21923,,,,,540,590,,,,,ANT 001
21923,,,820,900,,,820,900,,,ANT 001
21924,,,,,600,650,,,,,ANT 001
21924,,,820,900,,,820,900,,,ANT 001
21925,,,820,900,,,820,900,,,ANT 001
21925,,,,,660,710,,,,,ANT 001
21926,,,820,900,,,820,900,,,ANT 001
21926,,,,,730,780,,,,,ANT 001
21927,,,,,790,840,,,,,ANT 001
21927,,,820,900,,,820,900,,,ANT 001
21928,,,820,900,,,820,900,,,ANT 001
21928,,,,,850,900,,,,,ANT 001
21929,,,820,900,,,820,900,,,ANT 001
21929,,,,,910,960,,,,,ANT 001
21930,,,480,560,,,480,560,,,ANT 002
21930,,,570,590,,,570,590,,,ANT 002
21931,,,480,530,,,,,,,ANT 002
21931,,,630,710,,,630,710,,,ANT 002
21932,,,540,590,,,,,,,ANT 002
21932,,,630,710,,,630,710,,,ANT 002
21933,,,,,,,540,590,,,ANT 002
21933,,,630,710,,,630,710,,,ANT 002
21934,,,630,710,,,630,710,,,ANT 002
21934,,,,,,,,,660,710,ANT 002
21935,,,630,710,,,630,710,,,ANT 002
21935,,,1090,1140,,,,,,,ANT 002
21936,,,630,710,,,630,710,,,ANT 002
21936,,,1150,1200,,,,,,,ANT 002
21937,,,630,710,,,630,710,,,ANT 002
21937,,,,,1090,1140,,,,,ANT 002
21938,,,630,710,,,630,710,,,ANT 002
21938,,,,,,,,,850,900,ANT 002
